,Country,ISO3 Code,Date,Price (EUR/MWhe)
63446,Norway,NOR,2015-09-02,13.54
63447,Norway,NOR,2015-09-03,14.32
63448,Norway,NOR,2015-09-04,16.17
63449,Norway,NOR,2015-09-05,12.48
63450,Norway,NOR,2015-09-06,11.52
63451,Norway,NOR,2015-09-07,17.45
63452,Norway,NOR,2015-09-08,17.89
63453,Norway,NOR,2015-09-09,17.93
63454,Norway,NOR,2015-09-10,16.76
63455,Norway,NOR,2015-09-11,15.9
63456,Norway,NOR,2015-09-12,15.26
63457,Norway,NOR,2015-09-13,15.87
63458,Norway,NOR,2015-09-14,16.47
63459,Norway,NOR,2015-09-15,15.85
63460,Norway,NOR,2015-09-16,15.9
63461,Norway,NOR,2015-09-17,15.97
63462,Norway,NOR,2015-09-18,14.22
63463,Norway,NOR,2015-09-19,12.8
63464,Norway,NOR,2015-09-20,14.51
63465,Norway,NOR,2015-09-21,16.58
63466,Norway,NOR,2015-09-22,16.02
63467,Norway,NOR,2015-09-23,16.05
63468,Norway,NOR,2015-09-24,15.22
63469,Norway,NOR,2015-09-25,14.78
63470,Norway,NOR,2015-09-26,14.18
63471,Norway,NOR,2015-09-27,14.54
63472,Norway,NOR,2015-09-28,15.99
63473,Norway,NOR,2015-09-29,14.73
63474,Norway,NOR,2015-09-30,13.86
63475,Norway,NOR,2015-10-01,12.81
63476,Norway,NOR,2015-10-02,11.05
63477,Norway,NOR,2015-10-03,12.68
63478,Norway,NOR,2015-10-04,13.4
63479,Norway,NOR,2015-10-05,15.03
63480,Norway,NOR,2015-10-06,13.32
63481,Norway,NOR,2015-10-07,14.91
63482,Norway,NOR,2015-10-08,18.62
63483,Norway,NOR,2015-10-09,20.39
63484,Norway,NOR,2015-10-10,20.54
63485,Norway,NOR,2015-10-11,20.18
63486,Norway,NOR,2015-10-12,22.49
63487,Norway,NOR,2015-10-13,22.31
63488,Norway,NOR,2015-10-14,23.33
63489,Norway,NOR,2015-10-15,23.44
63490,Norway,NOR,2015-10-16,23.8
63491,Norway,NOR,2015-10-17,23.37
63492,Norway,NOR,2015-10-18,23.79
63493,Norway,NOR,2015-10-19,27.86
63494,Norway,NOR,2015-10-20,27.35
63495,Norway,NOR,2015-10-21,24.72
63496,Norway,NOR,2015-10-22,23.63
63497,Norway,NOR,2015-10-23,23.93
63498,Norway,NOR,2015-10-24,23.68
63499,Norway,NOR,2015-10-25,23.22
63500,Norway,NOR,2015-10-26,25.63
63501,Norway,NOR,2015-10-27,26.16
63502,Norway,NOR,2015-10-28,26.11
63503,Norway,NOR,2015-10-29,26.36
63504,Norway,NOR,2015-10-30,26.01
63505,Norway,NOR,2015-10-31,24.81
63506,Norway,NOR,2015-11-01,24.52
63507,Norway,NOR,2015-11-02,25.17
63508,Norway,NOR,2015-11-03,25.4
63509,Norway,NOR,2015-11-04,25.45
63510,Norway,NOR,2015-11-05,24.97
63511,Norway,NOR,2015-11-06,24.8
63512,Norway,NOR,2015-11-07,22.81
63513,Norway,NOR,2015-11-08,22.48
63514,Norway,NOR,2015-11-09,22.27
63515,Norway,NOR,2015-11-10,22.39
63516,Norway,NOR,2015-11-11,23.78
63517,Norway,NOR,2015-11-12,23.95
63518,Norway,NOR,2015-11-13,22.92
63519,Norway,NOR,2015-11-14,20.81
63520,Norway,NOR,2015-11-15,22.73
63521,Norway,NOR,2015-11-16,23.6
63522,Norway,NOR,2015-11-17,24.36
63523,Norway,NOR,2015-11-18,23.97
63524,Norway,NOR,2015-11-19,24.53
63525,Norway,NOR,2015-11-20,26.47
63526,Norway,NOR,2015-11-21,24.81
63527,Norway,NOR,2015-11-22,24.32
63528,Norway,NOR,2015-11-23,33.31
63529,Norway,NOR,2015-11-24,25.06
63530,Norway,NOR,2015-11-25,29.04
63531,Norway,NOR,2015-11-26,27.95
63532,Norway,NOR,2015-11-27,22.44
63533,Norway,NOR,2015-11-28,20.73
63534,Norway,NOR,2015-11-29,19.84
63535,Norway,NOR,2015-11-30,22.66
63536,Norway,NOR,2015-12-01,23.61
63537,Norway,NOR,2015-12-02,24.29
63538,Norway,NOR,2015-12-03,24.73
63539,Norway,NOR,2015-12-04,20.44
